"No.","Time","Source","Destination","Protocol","Length","Info"
"29","8.888707900","104.18.41.41","192.168.1.15","UDP","77","443  >  59001 Len=35"
"30","8.901843900","192.168.1.15","104.18.41.41","UDP","89","59001  >  443 Len=47"
"31","9.703027700","192.168.1.15","142.251.153.119","UDP","71","55293  >  443 Len=29"
"32","9.708887900","142.251.153.119","192.168.1.15","UDP","69","443  >  55293 Len=27"
"33","9.813145900","192.168.1.15","142.250.70.46","UDP","1286","55448  >  443 Len=1244"
"34","9.813365900","192.168.1.15","142.250.70.46","UDP","84","55448  >  443 Len=42"
"35","9.846109700","142.250.70.46","192.168.1.15","UDP","69","443  >  55448 Len=27"
"36","9.876244200","192.168.1.15","142.250.70.46","UDP","75","55448  >  443 Len=33"
"37","9.940127900","142.250.70.46","192.168.1.15","UDP","111","443  >  55448 Len=69"
"38","9.941934800","142.250.70.46","192.168.1.15","UDP","63","443  >  55448 Len=21"
"39","9.942135800","192.168.1.15","142.250.70.46","UDP","78","55448  >  443 Len=36"
"40","10.001904400","142.250.70.46","192.168.1.15","UDP","66","443  >  55448 Len=24"
"41","11.414540500","104.18.39.21","192.168.1.15","TLSv1.2","78","Application Data"
"42","11.414780800","192.168.1.15","104.18.39.21","TLSv1.2","82","Application Data"
"43","11.419582300","104.18.39.21","192.168.1.15","TCP","54","443  >  58327 [ACK] Seq=25 Ack=29 Win=16 Len=0"
"44","11.845094800","Analog_20:76:70","HonHaiPrecis_39:0e:3b","ARP","42","Who has 192.168.1.15? Tell 192.168.1.1"
"45","11.845108700","HonHaiPrecis_39:0e:3b","Analog_20:76:70","ARP","42","192.168.1.15 is at 80:2b:f9:39:0e:3b"
"46","12.542396400","192.168.1.3","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"47","13.813643600","192.168.1.15","142.250.70.46","UDP","1199","55448  >  443 Len=1157"
"48","13.871009900","142.250.70.46","192.168.1.15","UDP","70","443  >  55448 Len=28"
"49","13.903566900","192.168.1.15","142.250.70.46","UDP","75","55448  >  443 Len=33"
"50","13.922297500","142.250.70.46","192.168.1.15","UDP","111","443  >  55448 Len=69"
"51","13.923629300","142.250.70.46","192.168.1.15","UDP","63","443  >  55448 Len=21"
"52","13.923818700","192.168.1.15","142.250.70.46","UDP","78","55448  >  443 Len=36"
"53","13.984862600","142.250.70.46","192.168.1.15","UDP","67","443  >  55448 Len=25"
"54","16.000019500","104.18.41.41","192.168.1.15","UDP","721","443  >  59001 Len=679"
"55","16.016402600","192.168.1.15","104.18.41.41","UDP","89","59001  >  443 Len=47"
"56","19.449878900","192.168.1.15","103.159.44.5","DNS","93","Standard query 0x9035 HTTPS rr1---sn-qxaelnls.googlevideo.com"
"57","19.450235000","192.168.1.15","103.159.44.5","DNS","93","Standard query 0x8a84 A rr1---sn-qxaelnls.googlevideo.com"
"58","19.469738900","103.159.44.5","192.168.1.15","DNS","180","Standard query response 0x9035 HTTPS rr1---sn-qxaelnls.googlevideo.com CNAME rr1.sn-qxaelnls.googlevideo.com SOA ns1.google.com"
"59","19.469740900","103.159.44.5","192.168.1.15","DNS","394","Standard query response 0x8a84 A rr1---sn-qxaelnls.googlevideo.com CNAME rr1.sn-qxaelnls.googlevideo.com A 172.217.159.230 NS ns4.google.com NS ns1.google.com NS ns2.google.com NS ns3.google.com A 216.239.34.10 A 216.239.32.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"60","19.472073200","192.168.1.15","172.217.159.230","QUIC","1292","Initial, DCID=5e00577111fda1f1, PKN: 1, PADDING, CRYPTO, PING, PADDING, PING, PING, CRYPTO, PING, PING, CRYPTO, PADDING, PING, CRYPTO, PING, CRYPTO, PING"
"61","19.472404300","192.168.1.15","172.217.159.230","QUIC","1292","Initial, DCID=5e00577111fda1f1, PKN: 2, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, PING, PADDING, PING, PING, CRYPTO, CRYPTO, PING, CRYPTO"
"62","19.472765400","192.168.1.15","172.217.159.230","QUIC","120","0-RTT, DCID=5e00577111fda1f1"
"63","19.479716100","172.217.159.230","192.168.1.15","QUIC","82","Initial, SCID=fe00577111fda1f1, PKN: 1, ACK"
"64","19.483377400","172.217.159.230","192.168.1.15","QUIC","1292","Initial, SCID=fe00577111fda1f1, PKN: 2, ACK, PADDING"
"65","19.484110500","172.217.159.230","192.168.1.15","QUIC","1292","Handshake, SCID=fe00577111fda1f1"
"66","19.484111700","172.217.159.230","192.168.1.15","QUIC","1292","Handshake, SCID=fe00577111fda1f1"
"67","19.484194300","172.217.159.230","192.168.1.15","QUIC","1292","Handshake, SCID=fe00577111fda1f1"
"68","19.484199800","172.217.159.230","192.168.1.15","QUIC","1259","Protected Payload (KP0)"
"69","19.484582400","192.168.1.15","172.217.159.230","QUIC","81","Handshake, DCID=fe00577111fda1f1"
"70","19.485555000","192.168.1.15","172.217.159.230","QUIC","206","Protected Payload (KP0), DCID=fe00577111fda1f1"
"71","19.486027600","192.168.1.15","172.217.159.230","QUIC","1288","Protected Payload (KP0), DCID=fe00577111fda1f1"
"72","19.486135300","192.168.1.15","172.217.159.230","QUIC","1288","Protected Payload (KP0), DCID=fe00577111fda1f1"
"73","19.486218500","192.168.1.15","172.217.159.230","QUIC","868","Protected Payload (KP0), DCID=fe00577111fda1f1"
"74","19.490077500","172.217.159.230","192.168.1.15","QUIC","158","Protected Payload (KP0)"
"75","19.490082700","172.217.159.230","192.168.1.15","QUIC","573","Protected Payload (KP0)"
"76","19.490386000","192.168.1.15","172.217.159.230","QUIC","76","Protected Payload (KP0), DCID=fe00577111fda1f1"
"77","19.490540400","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"78","19.495297000","172.217.159.230","192.168.1.15","QUIC","65","Protected Payload (KP0)"
"79","19.504774100","172.217.159.230","192.168.1.15","QUIC","69","Protected Payload (KP0)"
"80","19.505174000","172.217.159.230","192.168.1.15","QUIC","627","Protected Payload (KP0)"
"81","19.505362100","192.168.1.15","172.217.159.230","QUIC","77","Protected Payload (KP0), DCID=fe00577111fda1f1"
"82","19.505989000","172.217.159.230","192.168.1.15","QUIC","1288","Protected Payload (KP0)"
"83","19.506602900","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"84","19.506603800","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"85","19.506604600","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"86","19.506605200","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"87","19.506605800","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"88","19.506606500","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"89","19.506607500","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"90","19.506796500","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"91","19.506901400","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"92","19.506985400","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"93","19.507054400","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"94","19.507126200","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"95","19.515120800","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"96","19.515398000","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"97","19.515989900","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"98","19.516063400","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"99","19.516098000","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"100","19.516300800","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"101","19.517124300","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"102","19.517182600","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"103","19.517212200","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"104","19.517317800","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"105","19.517422800","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"106","19.517503100","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"107","19.518976900","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"108","19.519068900","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"109","19.519122200","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"110","19.519239400","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"111","19.519240300","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"112","19.519241100","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"113","19.519241800","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"114","19.519242700","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"115","19.519243400","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"116","19.519244500","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"117","19.519371600","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"118","19.519424200","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"119","19.519540000","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"120","19.519541600","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"121","19.519621000","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"122","19.519726900","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"123","19.519919200","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"124","19.519921100","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"125","19.519921800","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"126","19.519922400","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"127","19.519923300","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"128","19.520008600","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"129","19.520165400","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"130","19.520279400","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"131","19.520354900","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"132","19.520452700","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"133","19.520555100","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"134","19.520665200","192.168.1.15","172.217.159.230","QUIC","78","Protected Payload (KP0), DCID=fe00577111fda1f1"
"135","19.520727800","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"136","19.520728600","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"137","19.520729400","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"138","19.520730000","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"139","19.520730600","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"140","19.520736300","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"141","19.520755100","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"142","19.520837900","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"143","19.520841400","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"144","19.520841900","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"145","19.520842500","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"146","19.520843000","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"147","19.520928800","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"148","19.520951900","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"149","19.520952700","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"150","19.520953200","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"151","19.521000700","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"152","19.521001300","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"153","19.521039000","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"154","19.521118300","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"155","19.521209300","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"156","19.521295400","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"157","19.521397500","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"158","19.521501400","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"159","19.521598900","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"160","19.521795500","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"161","19.521896800","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"162","19.521995400","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"163","19.522107100","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"164","19.522188000","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"165","19.522275300","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"166","19.527672700","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"167","19.527674000","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"168","19.527674700","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"169","19.527681100","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"170","19.527681800","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"171","19.527682400","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"172","19.527683100","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"173","19.527706000","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"174","19.528022600","192.168.1.15","172.217.159.230","QUIC","73","Protected Payload (KP0), DCID=fe00577111fda1f1"
"175","19.528150600","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"176","19.528205500","192.168.1.15","172.217.159.230","QUIC","76","Protected Payload (KP0), DCID=fe00577111fda1f1"
"177","19.528265900","192.168.1.15","172.217.159.230","QUIC","79","Protected Payload (KP0), DCID=fe00577111fda1f1"
"178","19.528357100","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"179","19.529233400","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"180","19.529235300","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"181","19.529236900","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"182","19.529237900","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"183","19.529238800","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"184","19.529656700","192.168.1.15","172.217.159.230","QUIC","76","Protected Payload (KP0), DCID=fe00577111fda1f1"
"185","19.529892300","192.168.1.15","172.217.159.230","QUIC","76","Protected Payload (KP0), DCID=fe00577111fda1f1"
"186","19.529993800","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"187","19.530133400","192.168.1.15","172.217.159.230","QUIC","76","Protected Payload (KP0), DCID=fe00577111fda1f1"
"188","19.530233300","192.168.1.15","172.217.159.230","QUIC","78","Protected Payload (KP0), DCID=fe00577111fda1f1"
"189","19.538039700","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"190","19.538044100","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"191","19.538047200","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"192","19.538050900","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"193","19.538051500","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"194","19.538054600","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"195","19.538058300","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"196","19.538075200","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"197","19.538077800","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"198","19.538081200","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"199","19.538589100","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"200","19.538590500","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"201","19.538699900","192.168.1.15","172.217.159.230","QUIC","77","Protected Payload (KP0), DCID=fe00577111fda1f1"
"202","19.538715400","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"203","19.538716400","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"204","19.538717900","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"205","19.538719100","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"206","19.538720100","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"207","19.538782000","192.168.1.15","172.217.159.230","QUIC","75","Protected Payload (KP0), DCID=fe00577111fda1f1"
"208","19.538840400","192.168.1.15","172.217.159.230","QUIC","76","Protected Payload (KP0), DCID=fe00577111fda1f1"
"209","19.538855100","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"210","19.538855900","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"211","19.538856500","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"212","19.538857200","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"213","19.538857800","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"214","19.538865300","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"215","19.538866700","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"216","19.538867900","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"217","19.538868800","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"218","19.538869600","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"219","19.538870500","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"220","19.538871400","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"221","19.538872300","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"222","19.538873200","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"223","19.538874000","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"224","19.538874900","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"225","19.538960900","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"226","19.539053300","192.168.1.15","172.217.159.230","QUIC","76","Protected Payload (KP0), DCID=fe00577111fda1f1"
"227","19.539062200","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"228","19.539062800","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"229","19.539063200","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"230","19.539063700","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"231","19.539108100","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"232","19.539147800","192.168.1.15","172.217.159.230","QUIC","76","Protected Payload (KP0), DCID=fe00577111fda1f1"
"233","19.539206100","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"234","19.539271100","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"235","19.539363400","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"236","19.539449200","192.168.1.15","172.217.159.230","QUIC","76","Protected Payload (KP0), DCID=fe00577111fda1f1"
"237","19.539505200","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"238","19.539571700","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"239","19.539656600","192.168.1.15","172.217.159.230","QUIC","76","Protected Payload (KP0), DCID=fe00577111fda1f1"
"240","19.539729700","192.168.1.15","172.217.159.230","QUIC","79","Protected Payload (KP0), DCID=fe00577111fda1f1"
"241","19.539822900","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"242","19.539882100","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"243","19.539925900","192.168.1.15","172.217.159.230","QUIC","76","Protected Payload (KP0), DCID=fe00577111fda1f1"
"244","19.539970100","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"245","19.540073800","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"246","19.540150500","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"247","19.540213500","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"248","19.540306800","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"249","19.540510800","192.168.1.15","172.217.159.230","QUIC","76","Protected Payload (KP0), DCID=fe00577111fda1f1"
"250","19.540611500","192.168.1.15","172.217.159.230","QUIC","74","Protected Payload (KP0), DCID=fe00577111fda1f1"
"251","19.541162600","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"252","19.541163700","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"253","19.541164300","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"254","19.541165000","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"255","19.541165600","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"256","19.541166100","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"257","19.541172000","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"258","19.541172700","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"259","19.541173500","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
"260","19.541174000","172.217.159.230","192.168.1.15","QUIC","1292","Protected Payload (KP0)"
